Ensemble ID,Gene symbol,log2FC vs BLAM,Timepoint,p-value,FDR,
ENSRNOG00000019560,Pde2a,0.300415067,FS120,0.000412257,1.71E-02,
ENSRNOG00000003969,Fam20a,-0.361815526,FS120,0.000413939,1.71E-02,
ENSRNOG00000012580,Ccdc141,-0.312395433,FS60,0.000693959,1.71E-02,
ENSRNOG00000005655,Cpa6,-0.712245612,FS30,0.000482802,1.72E-02,
ENSRNOG00000006980,Vcpip1,-0.31082694,FS30,0.00048226,1.72E-02,
ENSRNOG00000027430,Ikzf2,0.243330635,FS60,0.000696927,1.72E-02,
ENSRNOG00000049882,Adcyap1,-0.603769152,FS60,0.000705657,1.74E-02,
ENSRNOG00000002240,Dirc2,0.2541142,FS60,0.000714499,1.76E-02,
ENSRNOG00000010213,Fgd5,0.310195427,FS60,0.000722788,1.77E-02,
ENSRNOG00000001739,Mfi2,-0.711678301,FS60,0.000720491,1.77E-02,
ENSRNOG00000052429,Stard3nl,0.24114415,FS60,0.000721682,1.77E-02,
ENSRNOG00000042696,Minos1,0.266859455,FS60,0.00072735,1.78E-02,
ENSRNOG00000060129,Zfp655,0.302059785,FS30,0.000502984,1.78E-02,
ENSRNOG00000058158,NA,-3.290053689,FS30,0.000504694,1.79E-02,
ENSRNOG00000005620,Lcp2,-0.446632574,FS30,0.000507238,1.79E-02,
ENSRNOG00000011107,Pcsk1,0.366372953,FS30,0.000507413,1.79E-02,
ENSRNOG00000011852,Myo6,0.260540395,FS60,0.000736471,1.80E-02,
ENSRNOG00000019963,Spats1,-0.519195769,FS120,0.000438548,1.80E-02,
ENSRNOG00000011357,Shbg,-0.814802562,FS120,0.000441747,1.81E-02,
ENSRNOG00000027233,Trpc5,0.383222435,FS120,0.000440854,1.81E-02,
ENSRNOG00000004489,Adgre5,-0.488192924,FS30,0.000516992,1.81E-02,
ENSRNOG00000023148,Col11a1,-0.470168934,FS60,0.000752271,1.83E-02,
ENSRNOG00000036813,Ndrg3,-0.257926197,FS60,0.000754928,1.83E-02,
ENSRNOG00000024954,Mgat5b,0.322376265,FS120,0.000450439,1.84E-02,
ENSRNOG00000001627,Abi3bp,-0.28275103,FS120,0.000451933,1.84E-02,
ENSRNOG00000056558,Gabra3,-0.297260186,FS120,0.000456253,1.85E-02,
ENSRNOG00000000082,Hltf,0.282008067,FS30,0.000536268,1.87E-02,
ENSRNOG00000018198,Dapk1,0.340271748,FS30,0.000539149,1.88E-02,
ENSRNOG00000042985,Slc9b1,1.314409689,FS120,0.000464315,1.88E-02,
ENSRNOG00000011094,Efcab6,-0.398263033,FS60,0.000776847,1.88E-02,
ENSRNOG00000009040,Gas2l1,-0.295404226,FS60,0.000781189,1.89E-02,
ENSRNOG00000013064,Lrp8,0.232473753,FS60,0.000782656,1.89E-02,
ENSRNOG00000020388,Inpp5f,0.25463289,FS60,0.00078394,1.89E-02,
ENSRNOG00000037331,Cd33,-0.876735271,FS60,0.000786096,1.89E-02,
ENSRNOG00000006116,Hk2,-0.490912407,FS30,0.000547104,1.89E-02,
ENSRNOG00000016470,Ndufa10,0.313318686,FS30,0.000546005,1.89E-02,
ENSRNOG00000009887,Arih1,0.235114372,FS60,0.000793587,1.90E-02,
ENSRNOG00000013223,Fah,-0.23692147,FS60,0.000791586,1.90E-02,
ENSRNOG00000004200,Sybu,0.296582342,FS60,0.000793191,1.90E-02,
ENSRNOG00000027229,Slc35d2,-0.456248272,FS120,0.000471142,1.90E-02,
ENSRNOG00000008639,Pabpc1,0.38841151,FS60,0.000797489,1.90E-02,
ENSRNOG00000010210,Slc7a11,-0.326058543,FS120,0.000475732,1.91E-02,
ENSRNOG00000025115,Exph5,-0.559288231,FS60,0.000805384,1.92E-02,
ENSRNOG00000004040,Abca8,-0.336289586,FS120,0.000478529,1.92E-02,
ENSRNOG00000015560,RGD1310712,0.229757082,FS60,0.000813532,1.93E-02,
ENSRNOG00000011658,Tex30,0.579806837,FS60,0.000813065,1.93E-02,
ENSRNOG00000033528,Tll1,-0.363493307,FS60,0.000818517,1.94E-02,
ENSRNOG00000055391,Eif4ebp2,-0.487615219,FS30,0.000561892,1.94E-02,
ENSRNOG00000016854,Lrrc36,-0.270989605,FS120,0.000487785,1.95E-02,
ENSRNOG00000018698,Wac,0.229561893,FS60,0.000827712,1.95E-02,
ENSRNOG00000015777,Mex3c,-0.411502573,FS30,0.000567986,1.96E-02,
ENSRNOG00000012933,Prcc,-0.30574894,FS30,0.000568815,1.96E-02,
ENSRNOG00000005608,Tead4,0.567482803,FS60,0.000829929,1.96E-02,
ENSRNOG00000013431,Rsbn1l,-0.266022499,FS30,0.000575904,1.97E-02,
ENSRNOG00000022807,Pced1b,-0.275130431,FS120,0.000505245,2.00E-02,
ENSRNOG00000009205,Lmo4,-0.252240722,FS30,0.000586984,2.00E-02,
ENSRNOG00000009653,Numb,-0.293771651,FS60,0.000850418,2.00E-02,
ENSRNOG00000022857,Wdr92,-0.535597719,FS30,0.00059007,2.00E-02,
ENSRNOG00000023538,Aldh5a1,-0.321492244,FS60,0.000853511,2.01E-02,
ENSRNOG00000050024,AABR07006267.1,1.167875779,FS30,0.000598282,2.02E-02,
ENSRNOG00000039861,LOC690617,-0.329791729,FS60,0.000860649,2.02E-02,
ENSRNOG00000017438,Gfra1,0.449680027,FS120,0.000513835,2.03E-02,
ENSRNOG00000002041,Boc,-0.323624125,FS60,0.000866698,2.03E-02,
ENSRNOG00000043377,Fdps,-0.256049776,FS60,0.000865388,2.03E-02,
ENSRNOG00000021814,Tnfrsf25,0.726830529,FS120,0.000518376,2.04E-02,
ENSRNOG00000010919,Mbd4,-0.571759245,FS30,0.00060908,2.05E-02,
ENSRNOG00000052061,Ppef2,0.746476275,FS30,0.000612238,2.05E-02,
ENSRNOG00000006487,Casp8ap2,-0.383988914,FS30,0.00061445,2.06E-02,
ENSRNOG00000020949,Hsd17b14,-1.259069126,FS60,0.000883099,2.06E-02,
ENSRNOG00000010004,Ripply2,-0.516801285,FS60,0.000882979,2.06E-02,
ENSRNOG00000005856,Slc30a6,-0.383306905,FS30,0.0006174,2.06E-02,
ENSRNOG00000061367,Atp7a,0.298669967,FS60,0.000887157,2.07E-02,
ENSRNOG00000001073,RGD1563482,-0.563120139,FS60,0.000892957,2.07E-02,
ENSRNOG00000059008,Socs7,0.305315089,FS60,0.000891704,2.07E-02,
ENSRNOG00000028832,Sorcs3,0.322919292,FS30,0.000623269,2.08E-02,
ENSRNOG00000055860,Arl8b,0.241015483,FS60,0.000901341,2.09E-02,
ENSRNOG00000009577,Ndst4,-0.537597087,FS360,0.000108279,2.09E-02,
ENSRNOG00000007879,Stk26,-0.534201732,FS30,0.000631735,2.10E-02,
ENSRNOG00000000012,Tcf15,0.878632163,FS30,0.00063195,2.10E-02,
ENSRNOG00000018445,Agt,0.390080275,FS30,0.00064102,2.10E-02,
ENSRNOG00000047300,Bdkrb2,1.084328357,FS30,0.00063907,2.10E-02,
ENSRNOG00000037871,Sfxn5,-0.249547937,FS60,0.000911502,2.11E-02,
ENSRNOG00000058388,Zfp36,1.370637337,FS30,0.000644416,2.11E-02,
ENSRNOG00000015768,Cml5,0.698907125,FS360,0.000112041,2.11E-02,
ENSRNOG00000049768,Adcy9,0.38067142,FS120,0.000539248,2.11E-02,
ENSRNOG00000011566,Cecr2,0.197113202,FS120,0.000544188,2.12E-02,
ENSRNOG00000015473,Phactr2,-0.545865089,FS120,0.000543847,2.12E-02,
ENSRNOG00000020056,Fam134c,-0.290772602,FS30,0.000648954,2.12E-02,
ENSRNOG00000003472,Atp11c,0.293632442,FS30,0.000651299,2.12E-02,
ENSRNOG00000004420,Rad21,-0.375649233,FS30,0.000654056,2.13E-02,
ENSRNOG00000005183,Rtf1,0.262050256,FS60,0.000929308,2.15E-02,
ENSRNOG00000018992,Dpysl3,-0.301968914,FS30,0.00066229,2.15E-02,
ENSRNOG00000018039,Sncb,-0.310366121,FS60,0.000936324,2.16E-02,
ENSRNOG00000000096,Pdzk1,-0.257642011,FS60,0.000938688,2.16E-02,
ENSRNOG00000007102,Acss1,-0.239892162,FS120,0.00056479,2.18E-02,
ENSRNOG00000038943,RGD1560034,-0.332170946,FS180,0.0000689,2.18E-02,
ENSRNOG00000015406,Pgm5,0.471010642,FS60,0.000949014,2.18E-02,
ENSRNOG00000005067,LOC100911319,-1.010816966,FS60,0.000958285,2.20E-02,
ENSRNOG00000017310,Rnpc3,-0.282681517,FS30,0.000679614,2.20E-02,
ENSRNOG00000012991,Adgra2,-0.38161488,FS30,0.000685056,2.20E-02,
ENSRNOG00000015375,Lsm1,-0.565417678,FS30,0.000684509,2.20E-02,
ENSRNOG00000049780,Sri,-0.393048422,FS30,0.000685898,2.20E-02,
ENSRNOG00000010050,LOC691920,0.557225241,FS30,0.000690437,2.21E-02,
ENSRNOG00000019626,Slc27a5,-0.620309773,FS60,0.000980955,2.24E-02,
ENSRNOG00000020927,Tulp2,-0.333466536,FS60,0.00098006,2.24E-02,
ENSRNOG00000005758,Btbd11,-0.297092987,FS120,0.000584872,2.24E-02,
ENSRNOG00000012055,Man2a2,0.339275887,FS120,0.000585649,2.24E-02,
ENSRNOG00000051922,Samd9l,-0.245364741,FS120,0.000587237,2.24E-02,
ENSRNOG00000027089,Ell2,0.234435753,FS30,0.000706059,2.24E-02,
ENSRNOG00000016866,Fhl2,0.405219294,FS30,0.000702305,2.24E-02,
ENSRNOG00000021213,Lix1l,-0.4321176,FS30,0.000705352,2.24E-02,
ENSRNOG00000015003,Pex11a,0.953531222,FS60,0.000995452,2.26E-02,
ENSRNOG00000008236,Decr1,-0.34844019,FS120,0.00059877,2.27E-02,
ENSRNOG00000049982,Pex26,-0.651092909,FS30,0.000718276,2.27E-02,
ENSRNOG00000018680,Rpl17,0.431956534,FS30,0.000719668,2.27E-02,
ENSRNOG00000023412,Tmem241,-0.247092347,FS60,0.001000716,2.27E-02,
ENSRNOG00000052665,Onecut2,-0.510065299,FS30,0.000722999,2.27E-02,
ENSRNOG00000033837,Cdh9,-0.41812559,FS60,0.001010067,2.28E-02,
ENSRNOG00000008209,St3gal1,-0.297221924,FS60,0.0010139,2.29E-02,
ENSRNOG00000050183,RT1-CE2,-0.267770695,FS120,0.000608201,2.29E-02,
ENSRNOG00000003585,Sytl5,0.370244938,FS120,0.000611234,2.30E-02,
ENSRNOG00000006334,Txndc16,-0.242019862,FS60,0.001019023,2.30E-02,
ENSRNOG00000006048,Ezh2,0.270734882,FS60,0.001025937,2.31E-02,
ENSRNOG00000014164,Paqr5,-0.481638832,FS120,0.000617644,2.31E-02,
ENSRNOG00000019968,Trim8,-0.378362784,FS30,0.000740142,2.32E-02,
ENSRNOG00000005519,Grm3,-0.283159409,FS120,0.000623516,2.33E-02,
ENSRNOG00000049054,Ntsr2,-0.400889108,FS120,0.00062577,2.33E-02,
ENSRNOG00000006916,Sardh,-0.367938882,FS120,0.000625404,2.33E-02,
ENSRNOG00000013591,Tmem9b,-0.271063128,FS60,0.001038245,2.33E-02,
ENSRNOG00000016770,Calm3,-0.378652034,FS60,0.001045737,2.34E-02,
ENSRNOG00000020835,Hipk4,-0.261928613,FS60,0.001045676,2.34E-02,
ENSRNOG00000006615,Mtap,0.476754914,FS60,0.001044452,2.34E-02,
ENSRNOG00000042271,NA,-0.34894681,FS60,0.001046189,2.34E-02,
ENSRNOG00000012098,Adcyap1r1,0.275116622,FS30,0.000747991,2.34E-02,
ENSRNOG00000032398,RGD1562136,-0.384914672,FS30,0.000748641,2.34E-02,
ENSRNOG00000018715,Clec10a,1.066198116,FS30,0.000762579,2.37E-02,
ENSRNOG00000018205,Ttl,-0.428369519,FS30,0.000761202,2.37E-02,
ENSRNOG00000016275,Ttr,1.034159294,FS30,0.000761905,2.37E-02,
ENSRNOG00000017020,Inpp5d,0.29341577,FS30,0.000765747,2.37E-02,
ENSRNOG00000057558,NA,-0.267078671,FS120,0.000643124,2.38E-02,
ENSRNOG00000026783,Smyd4,-0.38781701,FS30,0.000775726,2.39E-02,
ENSRNOG00000018254,Sncaip,-0.256175503,FS120,0.000649026,2.40E-02,
ENSRNOG00000000635,NA,-0.228496235,FS120,0.000651824,2.41E-02,
ENSRNOG00000011201,Cmtm8,0.53902484,FS60,0.001080644,2.41E-02,
ENSRNOG00000050047,LOC100359907,-1.02298209,FS60,0.001081259,2.41E-02,
ENSRNOG00000024507,NA,-0.639999214,FS120,0.000661341,2.42E-02,
ENSRNOG00000016208,Setbp1,-0.250278927,FS120,0.000662387,2.42E-02,
ENSRNOG00000013707,Spata13,0.286151815,FS60,0.001094831,2.43E-02,
ENSRNOG00000030689,LOC100912573,0.916934899,FS30,0.00079379,2.44E-02,
ENSRNOG00000012620,Syngr3,-0.271237173,FS60,0.001099672,2.44E-02,
ENSRNOG00000050655,P4ha1,-0.266090202,FS30,0.00079629,2.44E-02,
ENSRNOG00000015594,Rftn2,-0.296507285,FS60,0.001102936,2.44E-02,
ENSRNOG00000048726,AABR07062129.1,-0.584770417,FS120,0.0006712,2.45E-02,
ENSRNOG00000003813,Kcnk10,-0.289853038,FS60,0.001112624,2.46E-02,
ENSRNOG00000022455,Cptp,-0.488141601,FS60,0.001114405,2.46E-02,
ENSRNOG00000011705,Stmn2,-0.244232186,FS60,0.001128611,2.49E-02,
ENSRNOG00000061687,NA,-0.795435968,FS60,0.001133553,2.50E-02,
ENSRNOG00000006803,Dnajc10,-0.265270107,FS30,0.000822642,2.51E-02,
ENSRNOG00000049229,LOC100911238,0.582289689,FS30,0.000829345,2.52E-02,
ENSRNOG00000007849,Zmat5,-0.300969949,FS60,0.001147718,2.52E-02,
ENSRNOG00000018054,F2rl2,0.820712292,FS120,0.000699857,2.53E-02,
ENSRNOG00000004317,Vipr2,-0.426252607,FS120,0.000696554,2.53E-02,
ENSRNOG00000052190,NA,-0.883321892,FS30,0.000833635,2.53E-02,
ENSRNOG00000014758,Lgi1,-0.307459687,FS60,0.001155662,2.54E-02,
ENSRNOG00000056826,Arap2,0.21531576,FS120,0.000706609,2.54E-02,
ENSRNOG00000012165,Ccdc129,0.932952407,FS30,0.000842852,2.55E-02,
ENSRNOG00000021472,Ermn,-0.375698584,FS60,0.001163326,2.55E-02,
ENSRNOG00000006807,Aldob,0.834173304,FS60,0.001171609,2.55E-02,
ENSRNOG00000016526,Dsg2,-0.395026532,FS60,0.001172009,2.55E-02,
ENSRNOG00000002104,Scaf4,0.245984625,FS60,0.00117059,2.55E-02,
ENSRNOG00000011667,Fastk,-0.287437458,FS60,0.001173738,2.55E-02,
ENSRNOG00000021855,Kcp,-0.607846531,FS60,0.001179318,2.56E-02,
ENSRNOG00000012999,Phb2,-0.47995559,FS60,0.001178598,2.56E-02,
ENSRNOG00000033134,Mef2c,-0.293980499,FS60,0.001185859,2.57E-02,
ENSRNOG00000020153,Supt3h,-0.29517034,FS120,0.000726991,2.60E-02,
ENSRNOG00000014137,Fbln1,0.379762701,FS360,0.000147183,2.61E-02,
ENSRNOG00000011655,Dcaf10,0.266406196,FS60,0.001209843,2.61E-02,
ENSRNOG00000015177,Sun2,0.402335451,FS60,0.001209386,2.61E-02,
ENSRNOG00000057672,NA,0.873200634,FS60,0.001220669,2.63E-02,
ENSRNOG00000000657,Nek7,-0.235256533,FS60,0.001223001,2.63E-02,
ENSRNOG00000013515,Ptpru,0.343141193,FS120,0.000739214,2.64E-02,
ENSRNOG00000016497,Bloc1s5,-0.398850743,FS30,0.000880347,2.65E-02,
ENSRNOG00000002360,Gabrg1,-0.237998163,FS60,0.001237234,2.66E-02,
ENSRNOG00000008140,Rpl15,-0.736522253,FS60,0.001244442,2.67E-02,
ENSRNOG00000021919,Rhoj,-0.305719776,FS120,0.000752027,2.68E-02,
ENSRNOG00000029316,Gtf2f2,-0.28618109,FS60,0.001250091,2.68E-02,
ENSRNOG00000013867,Fgf1,-0.418540223,FS360,0.000153484,2.69E-02,
ENSRNOG00000017993,Abcb10,-0.418050841,FS30,0.000895783,2.69E-02,
ENSRNOG00000017318,Zfp322a,-0.399683379,FS30,0.000895971,2.69E-02,
ENSRNOG00000061488,NA,-0.495099384,FS60,0.001258619,2.69E-02,
ENSRNOG00000001960,Sult1d1,0.604107826,FS60,0.001258589,2.69E-02,
ENSRNOG00000010784,Scg3,-0.30036277,FS60,0.001263489,2.70E-02,
ENSRNOG00000033654,LOC501038,-0.385619804,FS60,0.00126674,2.70E-02,
ENSRNOG00000046333,Ablim1,-0.25374218,FS60,0.001268762,2.70E-02,
ENSRNOG00000050553,Atp6v1c2,0.337211984,FS60,0.001275885,2.71E-02,
ENSRNOG00000020113,Cnnm2,0.2409982,FS60,0.001278625,2.71E-02,
ENSRNOG00000002524,Gpr37,-0.323827048,FS60,0.00127987,2.71E-02,
ENSRNOG00000005037,Kif18a,-0.62246352,FS60,0.001277986,2.71E-02,
ENSRNOG00000024964,Nufip2,0.262874705,FS60,0.001279529,2.71E-02,
ENSRNOG00000017671,Rasa3,-0.253015632,FS60,0.001288944,2.72E-02,
ENSRNOG00000026425,Ppp6r2,0.213495521,FS120,0.000772618,2.72E-02,
ENSRNOG00000052486,Kcna6,0.301962202,FS60,0.001291625,2.72E-02,
ENSRNOG00000003496,Tbc1d9,0.303680375,FS30,0.000911548,2.73E-02,
ENSRNOG00000047611,Top1,0.238378585,FS60,0.001300893,2.74E-02,
ENSRNOG00000014645,Aldh7a1,-0.361109838,FS120,0.000788746,2.77E-02,
ENSRNOG00000011305,Sox10,-0.535940913,FS30,0.0009274,2.77E-02,
ENSRNOG00000024657,Mfsd4,-0.244373156,FS60,0.001322998,2.78E-02,
ENSRNOG00000052424,2900026A02Rik,0.264449003,FS30,0.000935079,2.78E-02,
ENSRNOG00000050473,Rps27l,-0.964698285,FS30,0.000936266,2.78E-02,
ENSRNOG00000010330,Mark3,0.229873103,FS60,0.001336176,2.81E-02,
ENSRNOG00000027654,Appbp2,-0.316991226,FS30,0.00095657,2.82E-02,
ENSRNOG00000033733,Ccdc81,0.494415535,FS30,0.000959093,2.82E-02,
ENSRNOG00000056753,Hectd2,0.298680763,FS30,0.000953053,2.82E-02,
ENSRNOG00000051578,Zfp54,0.660697027,FS30,0.000955848,2.82E-02,
ENSRNOG00000038909,Pou3f3,-0.437980811,FS60,0.001346063,2.82E-02,
ENSRNOG00000057557,Prlr,-1.18986164,FS120,0.000811568,2.83E-02,
ENSRNOG00000021478,Tpd52l1,-0.240638525,FS60,0.001350953,2.83E-02,
ENSRNOG00000018610,Pde6d,0.268630919,FS60,0.001353171,2.83E-02,
ENSRNOG00000020915,Setd2,0.211535208,FS60,0.001357407,2.83E-02,
ENSRNOG00000042977,Mtx1,-0.278075365,FS60,0.00136107,2.84E-02,
ENSRNOG00000004861,Itga4,-0.32436781,FS60,0.001364959,2.84E-02,
ENSRNOG00000011882,Gab2,0.246845423,FS60,0.001368342,2.85E-02,
ENSRNOG00000010116,Leo1,-0.372976223,FS30,0.000975397,2.86E-02,
ENSRNOG00000000824,Dse,0.34194518,FS60,0.001386536,2.88E-02,
ENSRNOG00000026504,Fam114a1,-0.385313239,FS120,0.000838414,2.91E-02,
ENSRNOG00000012892,Abca4,-0.92062914,FS120,0.000845787,2.92E-02,
ENSRNOG00000018293,Strip1,-0.327606088,FS120,0.000847561,2.92E-02,
ENSRNOG00000002935,Ankrd40,-0.321504152,FS60,0.001415713,2.93E-02,
ENSRNOG00000018425,Dym,0.216099183,FS120,0.000854166,2.93E-02,
ENSRNOG00000058425,NA,-1.708134995,FS60,0.001425167,2.95E-02,
ENSRNOG00000003346,Fancb,-0.737431201,FS60,0.001428511,2.95E-02,
ENSRNOG00000029662,Wdfy4,-0.577821278,FS120,0.000862046,2.95E-02,
ENSRNOG00000019758,Ipo13,0.227252168,FS120,0.00086497,2.96E-02,
ENSRNOG00000009032,Ttll3,-0.280558744,FS120,0.000869122,2.96E-02,
ENSRNOG00000026519,NA,1.408854862,FS60,0.001438864,2.97E-02,
ENSRNOG00000011463,Psmb2,0.257286085,FS60,0.001441338,2.97E-02,
ENSRNOG00000054514,Mkln1,0.234611029,FS60,0.001444636,2.97E-02,
ENSRNOG00000021153,Fkbp2,-0.590734568,FS60,0.001449052,2.98E-02,
ENSRNOG00000007427,Entpd6,0.311016016,FS60,0.001463388,3.00E-02,
ENSRNOG00000037514,Qser1,0.222250328,FS60,0.001462637,3.00E-02,
ENSRNOG00000005410,Cdca7l,0.381442004,FS30,0.001032892,3.00E-02,
ENSRNOG00000005957,Slc4a7,0.289389605,FS30,0.00103245,3.00E-02,
ENSRNOG00000019957,Lrig2,0.227956374,FS60,0.00147187,3.01E-02,
ENSRNOG00000009592,Cyb5r3,-0.512969935,FS30,0.001042147,3.02E-02,
ENSRNOG00000011929,Abcd3,0.219245737,FS60,0.00148015,3.02E-02,
ENSRNOG00000039504,LOC360919,-1.083172283,FS60,0.001483997,3.02E-02,
ENSRNOG00000052022,Pnma3,-0.428481592,FS60,0.001482824,3.02E-02,
ENSRNOG00000020344,Sntb2,0.275557284,FS30,0.0010467,3.03E-02,
ENSRNOG00000033256,LOC691141,-0.535270352,FS30,0.001049012,3.03E-02,
ENSRNOG00000001704,Runx1,-0.378024936,FS360,0.00018343,3.03E-02,
ENSRNOG00000003717,Cnih4,-0.437243177,FS30,0.001059636,3.05E-02,
ENSRNOG00000031760,Fmn1,-0.381582506,FS360,0.000186528,3.05E-02,
ENSRNOG00000057561,NA,0.451184064,FS30,0.001065458,3.05E-02,
ENSRNOG00000059615,Exoc6b,0.255064683,FS120,0.000904784,3.06E-02,
ENSRNOG00000019831,Samd4b,-0.338703357,FS30,0.001070216,3.06E-02,
ENSRNOG00000003336,Mybph,-0.247938502,FS60,0.001505281,3.06E-02,
ENSRNOG00000000142,Plxdc2,-0.245482218,FS120,0.000907157,3.06E-02,
ENSRNOG00000018509,Cx3cr1,-0.429342051,FS30,0.001076217,3.06E-02,
ENSRNOG00000022252,Kbtbd3,-0.405574846,FS30,0.001074044,3.06E-02,
ENSRNOG00000013624,Uevld,-0.354555472,FS30,0.001077817,3.06E-02,
ENSRNOG00000017765,Net1,0.706007305,FS30,0.001081257,3.06E-02,
ENSRNOG00000052002,NA,-0.403602784,FS60,0.001510695,3.06E-02,
ENSRNOG00000001518,Itga6,-0.242554549,FS60,0.001513175,3.07E-02,
ENSRNOG00000020030,Crlf1,0.368763973,FS120,0.000914676,3.07E-02,
ENSRNOG00000042224,Cyp2j10,-0.244446431,FS120,0.000918011,3.07E-02,
ENSRNOG00000009264,Erc1,0.255502654,FS120,0.000917627,3.07E-02,
ENSRNOG00000028879,Slc4a8,0.267635285,FS120,0.000931887,3.08E-02,
ENSRNOG00000002036,Paxbp1,0.215104644,FS60,0.001522658,3.08E-02,
ENSRNOG00000060463,AABR07062799.2,0.237568479,FS120,0.0009444,3.11E-02,
ENSRNOG00000026180,Letm2,-0.263529159,FS120,0.000948942,3.11E-02,
ENSRNOG00000004560,Cacna1b,0.25796953,FS120,0.000951603,3.12E-02,
ENSRNOG00000015019,Spg21,-0.406928705,FS180,0.000102624,3.12E-02,
ENSRNOG00000061818,Wnt1,-0.585542453,FS60,0.001544493,3.12E-02,
ENSRNOG00000003736,Col5a2,-0.278175037,FS120,0.000956145,3.12E-02,
ENSRNOG00000016885,Klf6,-0.303769449,FS60,0.001556745,3.14E-02,
ENSRNOG00000007596,Rffl,-0.282164542,FS60,0.001563336,3.14E-02,
ENSRNOG00000011955,Rplp1,0.63616741,FS30,0.001117824,3.16E-02,
ENSRNOG00000017693,Slc2a5,0.577815102,FS30,0.001121082,3.16E-02,
ENSRNOG00000005528,Tbk1,0.24109648,FS60,0.001584789,3.17E-02,
ENSRNOG00000042603,Ttc39b,-0.238945673,FS60,0.001587832,3.17E-02,
ENSRNOG00000009118,Pou2f3,1.20807994,FS30,0.001140561,3.20E-02,
ENSRNOG00000010042,Wdfy2,0.237043852,FS60,0.001606699,3.20E-02,
ENSRNOG00000005639,Ar,0.362754652,FS120,0.000990531,3.21E-02,
ENSRNOG00000019645,Osbp2,0.224225945,FS120,0.000990574,3.21E-02,
ENSRNOG00000029658,Rnf213,-0.358840883,FS120,0.000992258,3.21E-02,
ENSRNOG00000055404,AABR07012826.1,-0.246990042,FS60,0.00161502,3.22E-02,
ENSRNOG00000030721,Fbrsl1,0.225223192,FS60,0.001629195,3.24E-02,
ENSRNOG00000025730,Armcx3,-0.28281136,FS60,0.001632701,3.24E-02,
ENSRNOG00000000105,Cplx2,0.242525955,FS30,0.001160309,3.24E-02,
ENSRNOG00000002580,Trmt1l,0.230717285,FS60,0.001642742,3.26E-02,
ENSRNOG00000002972,RGD1565283,0.5580937,FS180,0.00011171,3.26E-02,
ENSRNOG00000021725,Mlec,-0.250683531,FS120,0.001013597,3.26E-02,
ENSRNOG00000019666,Ubxn1,-0.431097133,FS60,0.001653291,3.27E-02,
ENSRNOG00000014289,Arpc2,0.214142313,FS60,0.0016575,3.28E-02,
ENSRNOG00000036859,Gdpd5,-0.337415564,FS30,0.001178999,3.28E-02,
ENSRNOG00000004505,Nfic,-0.349031442,FS30,0.00118375,3.29E-02,
ENSRNOG00000048036,Ncan,-0.306109378,FS360,0.000206957,3.29E-02,
ENSRNOG00000021102,Scn1b,0.36319721,FS360,0.000207653,3.29E-02,
ENSRNOG00000005723,Grin3a,-0.323488213,FS60,0.001678111,3.31E-02,
ENSRNOG00000031211,Acsm5,-1.166626701,FS120,0.001031828,3.31E-02,
ENSRNOG00000000151,Ldlrap1,-0.301518423,FS60,0.001682602,3.31E-02,
ENSRNOG00000013269,Tnfsf10,-0.681993705,FS60,0.001684688,3.31E-02,
ENSRNOG00000000796,Ranbp2,0.22939092,FS30,0.001203963,3.33E-02,
ENSRNOG00000007115,Crebl2,-0.321527537,FS30,0.001209381,3.33E-02,
ENSRNOG00000059857,Rnd1,-0.878884314,FS30,0.001210019,3.33E-02,
ENSRNOG00000029427,Grhl3,-0.836769878,FS120,0.001047089,3.34E-02,
ENSRNOG00000005413,Creb3l1,-0.497112811,FS30,0.001217628,3.35E-02,
ENSRNOG00000050193,LOC100912262,-0.298548465,FS120,0.001053823,3.35E-02,
ENSRNOG00000011826,Lzts1,-0.270460419,FS30,0.001221213,3.35E-02,
ENSRNOG00000007766,Pqbp1,-0.312381953,FS60,0.001715179,3.37E-02,
ENSRNOG00000008834,Dach1,-0.223052503,FS60,0.001718175,3.37E-02,
ENSRNOG00000017577,Bphl,-0.290306175,FS30,0.001242721,3.39E-02,
ENSRNOG00000022636,Alpk1,-0.285816278,FS120,0.001076051,3.41E-02,
ENSRNOG00000028845,Ebf1,-0.249489801,FS120,0.00107663,3.41E-02,
ENSRNOG00000059240,RGD1359449,0.585748469,FS30,0.00125399,3.42E-02,
ENSRNOG00000016326,Cx3cl1,-0.420102333,FS30,0.001259581,3.42E-02,
ENSRNOG00000053550,Itga1,-0.352673904,FS30,0.001263155,3.42E-02,
ENSRNOG00000043498,Sik2,0.248504005,FS30,0.001261252,3.42E-02,
ENSRNOG00000034272,Pias1,0.207395004,FS60,0.001754327,3.44E-02,
ENSRNOG00000017610,Nedd4l,0.311358833,FS60,0.001758283,3.44E-02,
ENSRNOG00000000956,Rasl11a,-0.840752308,FS60,0.001764434,3.45E-02,
ENSRNOG00000032378,Atp1a4,-0.551188569,FS360,0.000224947,3.45E-02,
ENSRNOG00000052064,Parvg,0.697742805,FS30,0.001281792,3.46E-02,
ENSRNOG00000000920,Phkg1,-0.456744241,FS30,0.001284831,3.46E-02,
ENSRNOG00000017766,Car12,0.351420962,FS30,0.001290455,3.47E-02,
ENSRNOG00000003831,Tdp1,0.359034898,FS120,0.001108333,3.48E-02,
ENSRNOG00000002061,Ptpn13,0.278964962,FS60,0.001784779,3.48E-02,
