Ensemble ID,Gene symbol,log2FC vs BLAM,Timepoint,p-value,FDR,
ENSRNOG00000009867,Tgfb3,0.614928918,FS30,0.00000516,5.15E-04,
ENSRNOG00000004772,Cytip,-1.263223235,FS120,0.00000376,5.17E-04,
ENSRNOG00000009001,Mtss1,-0.359711816,FS60,0.00000842,5.20E-04,
ENSRNOG00000002811,Brinp3,-0.431196406,FS120,0.00000382,5.20E-04,
ENSRNOG00000052080,Camk2b,0.408728598,FS120,0.00000387,5.22E-04,
ENSRNOG00000056550,Epb41l4b,0.275853167,FS120,0.00000396,5.25E-04,
ENSRNOG00000024435,Wbscr17,0.546307248,FS120,0.00000393,5.25E-04,
ENSRNOG00000005917,Pawr,0.844830982,FS60,0.0000086,5.28E-04,
ENSRNOG00000037957,Aifm3,0.535270459,FS60,0.00000876,5.36E-04,
ENSRNOG00000024207,Fgfrl1,-0.803745141,FS60,0.00000883,5.38E-04,
ENSRNOG00000000062,Pcgf3,0.342110654,FS60,0.00000923,5.60E-04,
ENSRNOG00000014182,Tns1,0.508850925,FS60,0.00000931,5.63E-04,
ENSRNOG00000058909,LOC103689992,-0.390433439,FS60,0.00000948,5.71E-04,
ENSRNOG00000058389,NA,-0.773100159,FS30,0.00000584,5.79E-04,
ENSRNOG00000006527,Slc6a1,0.376736102,FS60,0.00000967,5.80E-04,
ENSRNOG00000005404,Rasgrp1,-0.378526995,FS60,0.00000974,5.82E-04,
ENSRNOG00000003512,Gabra1,-0.467015001,FS60,0.00000994,5.91E-04,
ENSRNOG00000037687,Rspo2,0.624552995,FS120,0.00000461,5.96E-04,
ENSRNOG00000010184,Brk1,0.33772979,FS60,0.0000101,5.99E-04,
ENSRNOG00000055070,NA,0.399953663,FS60,0.0000102,6.00E-04,
ENSRNOG00000020703,Sipa1l3,0.407686089,FS120,0.00000473,6.04E-04,
ENSRNOG00000020078,Vstm4,-0.571495097,FS120,0.00000481,6.10E-04,
ENSRNOG00000029528,Cbs,0.490620308,FS180,0.000000821,6.11E-04,
ENSRNOG00000003675,Ptchd1,-0.524313636,FS30,0.00000647,6.37E-04,
ENSRNOG00000000808,Hsf2,-0.340895841,FS30,0.00000668,6.49E-04,
ENSRNOG00000005353,Rybp,-0.347209927,FS30,0.00000667,6.49E-04,
ENSRNOG00000005371,Klhl29,0.387578758,FS120,0.00000523,6.52E-04,
ENSRNOG00000013585,Nmnat3,-0.374246167,FS120,0.00000519,6.52E-04,
ENSRNOG00000033217,Esam,0.722463932,FS30,0.00000677,6.53E-04,
ENSRNOG00000001368,Rph3a,-0.420854087,FS60,0.0000112,6.56E-04,
ENSRNOG00000022720,Usp37,0.402828465,FS60,0.0000115,6.68E-04,
ENSRNOG00000025296,Lrrc8a,0.471021478,FS60,0.0000115,6.69E-04,
ENSRNOG00000018847,Stx5,-0.386270785,FS30,0.00000713,6.80E-04,
ENSRNOG00000007989,Chst1,0.393503022,FS60,0.0000119,6.87E-04,
ENSRNOG00000001222,Ube2g2,0.498310305,FS60,0.0000119,6.87E-04,
ENSRNOG00000029778,Maob,-0.375692788,FS60,0.0000121,6.93E-04,
ENSRNOG00000001484,Gatsl2,0.555277871,FS60,0.0000121,6.95E-04,
ENSRNOG00000013717,Bmp6,-0.394190336,FS120,0.00000581,7.02E-04,
ENSRNOG00000033087,Cdh23,-0.418718442,FS120,0.00000582,7.02E-04,
ENSRNOG00000007574,Padi2,-0.509145756,FS60,0.0000126,7.17E-04,
ENSRNOG00000018760,Mpp7,-0.307678876,FS120,0.00000609,7.28E-04,
ENSRNOG00000004110,Trib2,-0.436425233,FS60,0.0000128,7.30E-04,
ENSRNOG00000032258,Swt1,0.327700619,FS60,0.000013,7.34E-04,
ENSRNOG00000004303,Timp3,0.318801442,FS30,0.00000785,7.43E-04,
ENSRNOG00000057250,AABR07001905.1,-0.695297291,FS30,0.000008,7.46E-04,
ENSRNOG00000026036,Pdyn,1.321782636,FS30,0.00000803,7.46E-04,
ENSRNOG00000006628,Dusp16,-0.350842599,FS120,0.0000065,7.72E-04,
ENSRNOG00000030622,Enox2,-0.464810497,FS120,0.00000664,7.79E-04,
ENSRNOG00000060513,NA,-0.8843848,FS120,0.00000667,7.79E-04,
ENSRNOG00000008907,Fggy,-0.280536806,FS120,0.00000677,7.85E-04,
ENSRNOG00000011550,Kcnab2,0.43630267,FS120,0.00000688,7.91E-04,
ENSRNOG00000000905,Tex26,-0.711490579,FS120,0.00000704,8.03E-04,
ENSRNOG00000017106,Csnk1a1,0.336346175,FS60,0.0000148,8.27E-04,
ENSRNOG00000038761,Hacd2,0.296302224,FS60,0.000015,8.34E-04,
ENSRNOG00000002618,Ivns1abp,0.37753456,FS60,0.000015,8.34E-04,
ENSRNOG00000002848,Maoa,-0.353987048,FS60,0.0000153,8.46E-04,
ENSRNOG00000043143,Eml1,-0.305735706,FS60,0.0000154,8.51E-04,
ENSRNOG00000047137,Erbb2ip,0.364106776,FS60,0.0000156,8.54E-04,
ENSRNOG00000006420,Rbm38,0.79160592,FS60,0.0000156,8.54E-04,
